keyword,title,brand,price,raw_price,rating,reviews,platform,position,delivery,discount_pct,price_range,visibility_score,link,thumbnail,data_source
men running shoes,HP men running shoes Model 157,HP,35128.0,,4.7,2310,Reliance Digital,17,2 Days,0.0,High-End (15K-50K),0.575,,,csv
office chair ergonomic,LG office chair ergonomic Model 374,LG,24312.0,,4.5,1364,Croma,14,5 Days,0.0,High-End (15K-50K),0.65,,,csv
men running shoes,Philips men running shoes Model 776,Philips,12533.0,,4.8,208,Flipkart,18,Free Delivery,0.0,Premium (5K-15K),0.55,,,csv
air fryer India,Samsung air fryer India Model 961,Samsung,14116.0,,2.6,2903,Croma,11,Free Delivery,0.0,Premium (5K-15K),0.725,,,csv
power bank fast charging,Nike power bank fast charging Model 363,Nike,702.0,,4.5,1477,Flipkart,16,2 Days,0.0,Economy (500-2K),0.6,,,csv
men running shoes,Dell men running shoes Model 705,Dell,20430.0,,4.6,4958,Croma,19,2 Days,0.0,High-End (15K-50K),0.525,,,csv
microwave oven convection,Samsung microwave oven convection Model 692,Samsung,49213.0,,4.9,4261,Amazon,24,Free Delivery,0.0,High-End (15K-50K),0.4,,,csv
microwave oven convection,HP microwave oven convection Model 498,HP,36910.0,,3.3,1021,Flipkart,25,2 Days,0.0,High-End (15K-50K),0.375,,,csv
microwave oven convection,Boat microwave oven convection Model 460,Boat,16391.0,,4.4,4959,Croma,26,2 Days,0.0,High-End (15K-50K),0.35,,,csv
office chair ergonomic,Boat office chair ergonomic Model 748,Boat,27212.0,,3.0,2333,Flipkart,15,Free Delivery,0.0,High-End (15K-50K),0.625,,,csv
power bank fast charging,LG power bank fast charging Model 928,LG,23555.0,,4.9,506,Flipkart,17,Free Delivery,0.0,High-End (15K-50K),0.575,,,csv
office chair ergonomic,HP office chair ergonomic Model 934,HP,42606.0,,3.0,3555,Flipkart,16,Free Delivery,0.0,High-End (15K-50K),0.6,,,csv
power bank fast charging,Sony power bank fast charging Model 242,Sony,17801.0,,3.4,2910,Croma,18,2 Days,0.0,High-End (15K-50K),0.55,,,csv
microwave oven convection,Dell microwave oven convection Model 190,Dell,41050.0,,4.4,1230,Reliance Digital,27,Free Delivery,0.0,High-End (15K-50K),0.325,,,csv
power bank fast charging,Philips power bank fast charging Model 319,Philips,38764.0,,3.9,416,Croma,19,5 Days,0.0,High-End (15K-50K),0.525,,,csv
power bank fast charging,Samsung power bank fast charging Model 461,Samsung,2621.0,,4.9,112,Amazon,20,Free Delivery,0.0,Mid-Range (2K-5K),0.5,,,csv
power bank fast charging,Boat power bank fast charging Model 133,Boat,4165.0,,3.4,2655,Croma,21,5 Days,0.0,Mid-Range (2K-5K),0.475,,,csv
office chair ergonomic,Philips office chair ergonomic Model 510,Philips,48400.0,,4.8,469,Reliance Digital,17,Free Delivery,0.0,High-End (15K-50K),0.575,,,csv
men running shoes,Boat men running shoes Model 369,Boat,22100.5,,3.6,1998,Flipkart,20,2 Days,0.0,High-End (15K-50K),0.5,,,csv
air fryer India,Philips air fryer India Model 746,Philips,23754.5,,4.0,4869,Croma,12,Free Delivery,0.0,High-End (15K-50K),0.7,,,csv
men running shoes,LG men running shoes Model 542,LG,22100.5,,3.8,2690,Reliance Digital,21,5 Days,0.0,High-End (15K-50K),0.475,,,csv
air fryer India,Philips air fryer India Model 250,Philips,32487.0,,4.5,2194,Reliance Digital,13,Free Delivery,0.0,High-End (15K-50K),0.675,,,csv
men running shoes,LG men running shoes Model 220,LG,13243.0,,3.7,1513,Flipkart,22,Free Delivery,0.0,Premium (5K-15K),0.45,,,csv
microwave oven convection,Dell microwave oven convection Model 363,Dell,27413.0,,3.1,1596,Flipkart,29,2 Days,0.0,High-End (15K-50K),0.275,,,csv
power bank fast charging,HP power bank fast charging Model 389,HP,18862.0,,4.7,4825,Flipkart,22,5 Days,0.0,High-End (15K-50K),0.45,,,csv
air fryer India,Puma air fryer India Model 420,Puma,19293.0,,3.5,721,Amazon,14,2 Days,0.0,High-End (15K-50K),0.65,,,csv
air fryer India,Dell air fryer India Model 471,Dell,25906.0,,2.8,2582,Reliance Digital,15,Free Delivery,0.0,High-End (15K-50K),0.625,,,csv
men running shoes,Puma men running shoes Model 302,Puma,46676.0,,3.0,1248,Flipkart,23,Free Delivery,0.0,High-End (15K-50K),0.425,,,csv
air fryer India,Sony air fryer India Model 232,Sony,44203.0,,4.7,2799,Croma,16,Free Delivery,0.0,High-End (15K-50K),0.6,,,csv
power bank fast charging,Dell power bank fast charging Model 386,Dell,27079.5,,4.2,962,Reliance Digital,23,Free Delivery,0.0,High-End (15K-50K),0.425,,,csv
microwave oven convection,HP microwave oven convection Model 285,HP,23499.0,,3.8,2826,Flipkart,30,2 Days,0.0,High-End (15K-50K),0.25,,,csv
air fryer India,Puma air fryer India Model 349,Puma,30268.0,,4.2,3941,Croma,17,Free Delivery,0.0,High-End (15K-50K),0.575,,,csv
men running shoes,Boat men running shoes Model 401,Boat,146220.0,,3.2,1261,Reliance Digital,24,5 Days,0.0,Luxury (50K+),0.4,,,csv
power bank fast charging,Nike power bank fast charging Model 369,Nike,44892.0,,3.9,383,Amazon,24,2 Days,0.0,High-End (15K-50K),0.4,,,csv
microwave oven convection,HP microwave oven convection Model 284,HP,44322.0,,4.3,2946,Croma,31,5 Days,0.0,High-End (15K-50K),0.225,,,csv
air fryer India,Boat air fryer India Model 908,Boat,41753.0,,4.3,3905,Reliance Digital,18,Free Delivery,0.0,High-End (15K-50K),0.55,,,csv
office chair ergonomic,LG office chair ergonomic Model 572,LG,23787.0,,4.4,2192,Croma,19,Free Delivery,0.0,High-End (15K-50K),0.525,,,csv
men running shoes,Nike men running shoes Model 761,Nike,22667.0,,4.7,1929,Flipkart,25,Free Delivery,0.0,High-End (15K-50K),0.375,,,csv
office chair ergonomic,LG office chair ergonomic Model 655,LG,41827.0,,4.1,0,Flipkart,20,Free Delivery,0.0,High-End (15K-50K),0.5,,,csv
air fryer India,LG air fryer India Model 811,LG,33630.0,,4.0,1597,Reliance Digital,19,Free Delivery,0.0,High-End (15K-50K),0.525,,,csv
microwave oven convection,Puma microwave oven convection Model 556,MI,192440.0,,4.3,4490,Croma,32,2 Days,0.0,Luxury (50K+),0.2,,,csv
air fryer India,LG air fryer India Model 528,LG,48545.0,,4.5,309,Flipkart,20,5 Days,0.0,High-End (15K-50K),0.5,,,csv
microwave oven convection,LG microwave oven convection Model 606,LG,30148.0,,2.7,4899,Croma,33,5 Days,0.0,High-End (15K-50K),0.175,,,csv
power bank fast charging,Dell power bank fast charging Model 949,Dell,26802.0,,2.9,3666,Flipkart,25,Free Delivery,0.0,High-End (15K-50K),0.375,,,csv
power bank fast charging,Sony power bank fast charging Model 531,Sony,32369.0,,2.6,2525,Flipkart,27,Free Delivery,0.0,High-End (15K-50K),0.325,,,csv
men running shoes,Samsung men running shoes Model 624,Samsung,22100.5,,3.7,4218,Croma,26,5 Days,0.0,High-End (15K-50K),0.35,,,csv
office chair ergonomic,Nike office chair ergonomic Model 985,MI,46962.0,,3.6,526,Croma,21,2 Days,0.0,High-End (15K-50K),0.475,,,csv
power bank fast charging,HP power bank fast charging Model 469,HP,23432.0,,3.3,0,Croma,28,2 Days,0.0,High-End (15K-50K),0.3,,,csv
power bank fast charging,Samsung power bank fast charging Model 954,Samsung,16114.0,,3.1,3197,Reliance Digital,29,2 Days,0.0,High-End (15K-50K),0.275,,,csv
power bank fast charging,Puma power bank fast charging Model 144,Puma,36520.0,,3.1,3011,Reliance Digital,30,5 Days,0.0,High-End (15K-50K),0.25,,,csv
office chair ergonomic,Nike office chair ergonomic Model 799,MI,48982.0,,3.3,3233,Amazon,22,Free Delivery,0.0,High-End (15K-50K),0.45,,,csv
power bank fast charging,Samsung power bank fast charging Model 447,Samsung,14024.0,,4.0,3085,Reliance Digital,31,Free Delivery,0.0,Premium (5K-15K),0.225,,,csv
air fryer India,LG air fryer India Model 152,LG,28647.0,,3.9,3757,Flipkart,21,5 Days,0.0,High-End (15K-50K),0.475,,,csv
office chair ergonomic,Nike office chair ergonomic Model 321,MI,17858.0,,3.7,666,Flipkart,23,5 Days,0.0,High-End (15K-50K),0.425,,,csv
air fryer India,Nike air fryer India Model 609,Nike,34421.0,,2.8,660,Amazon,22,Free Delivery,0.0,High-End (15K-50K),0.45,,,csv
power bank fast charging,Boat power bank fast charging Model 295,Boat,17152.0,,3.9,1879,Flipkart,32,Free Delivery,0.0,High-End (15K-50K),0.2,,,csv
power bank fast charging,Samsung power bank fast charging Model 308,Samsung,780.0,,2.9,2239,Croma,33,2 Days,0.0,Economy (500-2K),0.175,,,csv
men running shoes,Puma men running shoes Model 846,Puma,1264.0,,4.2,1855,Croma,27,5 Days,0.0,Economy (500-2K),0.325,,,csv
air fryer India,Dell air fryer India Model 255,Dell,26154.0,,3.4,1644,Flipkart,23,Free Delivery,0.0,High-End (15K-50K),0.425,,,csv
power bank fast charging,Sony power bank fast charging Model 220,Sony,35128.0,,4.3,1617,Amazon,34,5 Days,0.0,High-End (15K-50K),0.15,,,csv
air fryer India,Boat air fryer India Model 553,Boat,23754.5,,4.5,1543,Amazon,24,2 Days,0.0,High-End (15K-50K),0.4,,,csv
microwave oven convection,HP microwave oven convection Model 161,HP,34850.0,,4.7,1498,Amazon,34,5 Days,0.0,High-End (15K-50K),0.15,,,csv
power bank fast charging,Puma power bank fast charging Model 131,Puma,8933.0,,3.8,143,Amazon,35,2 Days,0.0,Premium (5K-15K),0.125,,,csv
office chair ergonomic,Puma office chair ergonomic Model 677,MI,20577.0,,3.6,3338,Croma,24,5 Days,0.0,High-End (15K-50K),0.4,,,csv
power bank fast charging,LG power bank fast charging Model 664,LG,34516.0,,4.0,2812,Amazon,36,Free Delivery,0.0,High-End (15K-50K),0.1,,,csv
microwave oven convection,Puma microwave oven convection Model 871,MI,11766.0,,4.5,4784,Reliance Digital,35,5 Days,0.0,Premium (5K-15K),0.125,,,csv
men running shoes,HP men running shoes Model 660,HP,22100.5,,4.1,1332,Croma,28,5 Days,0.0,High-End (15K-50K),0.3,,,csv
power bank fast charging,Philips power bank fast charging Model 956,Philips,22658.0,,4.3,4250,Amazon,37,2 Days,0.0,High-End (15K-50K),0.075,,,csv
air fryer India,HP air fryer India Model 320,HP,23754.5,,3.4,381,Reliance Digital,25,Free Delivery,0.0,High-End (15K-50K),0.375,,,csv
air fryer India,Puma air fryer India Model 328,Puma,22632.0,,4.8,2008,Amazon,26,Free Delivery,0.0,High-End (15K-50K),0.35,,,csv
microwave oven convection,Boat microwave oven convection Model 117,Boat,12123.0,,4.6,4412,Flipkart,36,5 Days,0.0,Premium (5K-15K),0.1,,,csv
microwave oven convection,Philips microwave oven convection Model 955,Philips,23499.0,,4.3,4330,Flipkart,37,5 Days,0.0,High-End (15K-50K),0.075,,,csv
power bank fast charging,HP power bank fast charging Model 832,HP,30429.0,,4.4,4501,Flipkart,38,Free Delivery,0.0,High-End (15K-50K),0.05,,,csv
power bank fast charging,Sony power bank fast charging Model 552,Sony,1240.0,,4.0,1072,Flipkart,39,Free Delivery,0.0,Economy (500-2K),0.025,,,csv
men running shoes,Nike men running shoes Model 523,Nike,19303.0,,4.7,3172,Amazon,29,2 Days,0.0,High-End (15K-50K),0.275,,,csv
office chair ergonomic,Sony office chair ergonomic Model 587,Sony,2295.0,,3.7,4417,Croma,25,5 Days,0.0,Mid-Range (2K-5K),0.375,,,csv
microwave oven convection,Nike microwave oven convection Model 158,MI,325160.0,,3.5,4292,Croma,38,5 Days,0.0,Luxury (50K+),0.05,,,csv
office chair ergonomic,Puma office chair ergonomic Model 360,MI,24626.0,,2.8,3256,Croma,26,Free Delivery,0.0,High-End (15K-50K),0.35,,,csv
power bank fast charging,Dell power bank fast charging Model 204,Dell,49421.0,,2.6,1928,Flipkart,40,Free Delivery,0.0,High-End (15K-50K),0.0,,,csv
air fryer India,Nike air fryer India Model 534,Nike,17928.0,,3.4,3731,Reliance Digital,27,2 Days,0.0,High-End (15K-50K),0.325,,,csv
men running shoes,LG men running shoes Model 145,LG,30111.0,,3.1,702,Reliance Digital,30,Free Delivery,0.0,High-End (15K-50K),0.25,,,csv
air fryer India,Philips air fryer India Model 360,Philips,17016.0,,3.5,2921,Reliance Digital,28,Free Delivery,0.0,High-End (15K-50K),0.3,,,csv
power bank fast charging,HP power bank fast charging Model 824,HP,3841.0,,3.8,1977,Amazon,41,5 Days,0.0,Mid-Range (2K-5K),0.0,,,csv
microwave oven convection,Samsung microwave oven convection Model 836,Samsung,17755.0,,3.3,903,Reliance Digital,39,Free Delivery,0.0,High-End (15K-50K),0.025,,,csv
power bank fast charging,Samsung power bank fast charging Model 858,Samsung,4182.0,,4.4,2560,Amazon,42,Free Delivery,0.0,Mid-Range (2K-5K),0.0,,,csv
power bank fast charging,LG power bank fast charging Model 466,LG,49248.0,,3.9,1875,Amazon,43,5 Days,0.0,High-End (15K-50K),0.0,,,csv
men running shoes,Nike men running shoes Model 143,Nike,44839.0,,2.6,3003,Flipkart,31,Free Delivery,0.0,High-End (15K-50K),0.225,,,csv
power bank fast charging,LG power bank fast charging Model 591,LG,27079.5,,3.4,2625,Amazon,44,Free Delivery,0.0,High-End (15K-50K),0.0,,,csv
office chair ergonomic,Boat office chair ergonomic Model 149,Boat,17627.0,,3.6,2289,Amazon,27,2 Days,0.0,High-End (15K-50K),0.325,,,csv
power bank fast charging,LG power bank fast charging Model 249,LG,27079.5,,2.8,2046,Flipkart,45,Free Delivery,0.0,High-End (15K-50K),0.0,,,csv
office chair ergonomic,Puma office chair ergonomic Model 996,MI,66760.0,,3.1,2181,Reliance Digital,28,5 Days,0.0,Luxury (50K+),0.3,,,csv
power bank fast charging,LG power bank fast charging Model 549,LG,32260.0,,4.7,1850,Reliance Digital,46,5 Days,0.0,High-End (15K-50K),0.0,,,csv
power bank fast charging,Philips power bank fast charging Model 461,Philips,27079.5,,3.1,4526,Amazon,47,2 Days,0.0,High-End (15K-50K),0.0,,,csv
office chair ergonomic,Sony office chair ergonomic Model 269,Sony,35424.0,,3.8,886,Amazon,30,5 Days,0.0,High-End (15K-50K),0.25,,,csv
air fryer India,Philips air fryer India Model 729,Philips,21132.0,,2.7,4262,Croma,29,Free Delivery,0.0,High-End (15K-50K),0.275,,,csv
men running shoes,Philips men running shoes Model 417,Philips,12377.0,,4.1,1839,Flipkart,32,5 Days,0.0,Premium (5K-15K),0.2,,,csv
power bank fast charging,Nike power bank fast charging Model 843,Nike,21420.0,,4.5,465,Flipkart,48,Free Delivery,0.0,High-End (15K-50K),0.0,,,csv
office chair ergonomic,Nike office chair ergonomic Model 207,MI,18384.0,,3.9,3798,Flipkart,31,2 Days,0.0,High-End (15K-50K),0.225,,,csv
microwave oven convection,HP microwave oven convection Model 936,HP,39408.0,,4.2,3196,Croma,40,5 Days,0.0,High-End (15K-50K),0.0,,,csv
air fryer India,Philips air fryer India Model 269,Philips,23754.5,,3.6,1770,Flipkart,30,5 Days,0.0,High-End (15K-50K),0.25,,,csv
office chair ergonomic,LG office chair ergonomic Model 518,LG,37579.0,,3.0,2735,Amazon,32,2 Days,0.0,High-End (15K-50K),0.2,,,csv
men running shoes,Boat men running shoes Model 196,Boat,6965.0,,4.7,281,Amazon,33,Free Delivery,0.0,Premium (5K-15K),0.175,,,csv
power bank fast charging,LG power bank fast charging Model 926,LG,5841.0,,3.5,1593,Croma,49,5 Days,0.0,Premium (5K-15K),0.0,,,csv
power bank fast charging,Samsung power bank fast charging Model 204,Samsung,35892.0,,4.0,4811,Amazon,50,2 Days,0.0,High-End (15K-50K),0.0,,,csv
men running shoes,Boat men running shoes Model 488,Boat,34899.0,,4.3,2120,Amazon,34,5 Days,0.0,High-End (15K-50K),0.15,,,csv
air fryer India,Philips air fryer India Model 777,Philips,24223.0,,2.9,2765,Reliance Digital,31,5 Days,0.0,High-End (15K-50K),0.225,,,csv
office chair ergonomic,Puma office chair ergonomic Model 336,MI,24312.0,,3.3,4418,Flipkart,33,2 Days,0.0,High-End (15K-50K),0.175,,,csv
microwave oven convection,LG microwave oven convection Model 465,LG,35692.0,,3.1,560,Flipkart,41,2 Days,0.0,High-End (15K-50K),0.0,,,csv
men running shoes,Philips men running shoes Model 921,Philips,6136.0,,3.7,3343,Croma,35,Free Delivery,0.0,Premium (5K-15K),0.125,,,csv
men running shoes,Sony men running shoes Model 459,Sony,42264.0,,3.5,3067,Flipkart,36,2 Days,0.0,High-End (15K-50K),0.1,,,csv
